VGG16_RECALL(X),VGG16_PRECISION(Y),EffNetB0_RECALL(X),EffNetB0_PRECISION(Y),SwinT_RECALL(X),SwinT_PRECISION(Y)
0.947368,0.172249,0.921053,0.227273,0.973684,0.264286
0.947368,0.173077,0.921053,0.224359,0.973684,0.262411
0.947368,0.173913,0.921053,0.22293,0.973684,0.260563
0.947368,0.174757,0.921053,0.230263,0.973684,0.258741
0.947368,0.17561,0.947368,0.195652,0.973684,0.256944
0.947368,0.178218,0.947368,0.188482,0.973684,0.255172
0.947368,0.17734,0.947368,0.189474,0.973684,0.251701
0.947368,0.179104,0.947368,0.190476,0.973684,0.25
0.947368,0.18,0.947368,0.191489,0.973684,0.248322
0.947368,0.180905,0.947368,0.192513,0.973684,0.246667
0.947368,0.176471,0.947368,0.193548,0.973684,0.245033
0.947368,0.171429,0.947368,0.194595,0.973684,0.253425
0.947368,0.169014,0.947368,0.196721,0.973684,0.24183
0.947368,0.169811,0.947368,0.205714,0.973684,0.226994
0.947368,0.168224,0.947368,0.198895,0.973684,0.243421
0.947368,0.167442,0.947368,0.2,0.973684,0.229814
0.947368,0.166667,0.947368,0.201117,0.973684,0.23125
0.947368,0.165899,0.947368,0.202247,0.973684,0.232704
0.947368,0.165138,0.947368,0.20339,0.973684,0.234177
0.947368,0.164384,0.947368,0.204545,0.973684,0.228395
0.947368,0.163636,0.947368,0.206897,0.973684,0.237179
0.947368,0.162896,0.947368,0.208092,0.973684,0.23871
0.947368,0.162162,0.947368,0.209302,0.973684,0.24026
0.947368,0.161435,0.947368,0.197802,0.973684,0.235669
0.947368,0.160714,0.973684,0.15812,1.0,0.158996
0.947368,0.181818,0.973684,0.158798,1.0,0.159664
0.947368,0.170616,0.973684,0.159483,1.0,0.160338
0.947368,0.182741,0.973684,0.160173,1.0,0.161017
0.947368,0.186528,0.973684,0.16087,1.0,0.161702
0.947368,0.184615,0.973684,0.163717,1.0,0.162393
0.947368,0.183673,0.973684,0.162281,1.0,0.164502
0.947368,0.214286,0.973684,0.162996,1.0,0.163793
0.947368,0.213018,0.973684,0.157447,1.0,0.165217
0.947368,0.211765,0.973684,0.164444,1.0,0.165939
0.947368,0.210526,0.973684,0.165179,1.0,0.166667
0.947368,0.209302,0.973684,0.161572,1.0,0.167401
0.947368,0.208092,0.973684,0.15678,1.0,0.16309
0.947368,0.206897,0.973684,0.153527,1.0,0.158333
0.947368,0.205714,0.973684,0.155462,1.0,0.150198
0.947368,0.20339,0.973684,0.154812,1.0,0.157025
0.947368,0.202247,0.973684,0.154167,1.0,0.156379
0.947368,0.201117,0.973684,0.152893,1.0,0.155738
0.947368,0.2,0.973684,0.152263,1.0,0.155102
0.947368,0.204545,0.973684,0.151639,1.0,0.154472
0.947368,0.197802,0.973684,0.15102,1.0,0.153846
0.947368,0.185567,0.973684,0.150407,1.0,0.153226
0.947368,0.1875,0.973684,0.149798,1.0,0.15261
0.947368,0.198895,0.973684,0.149194,1.0,0.152
0.947368,0.189474,0.973684,0.148594,1.0,0.151394
0.947368,0.190476,0.973684,0.165919,1.0,0.150794
0.947368,0.191489,0.973684,0.156118,1.0,0.149606
0.947368,0.188482,0.973684,0.166667,1.0,0.14902
0.947368,0.193548,0.973684,0.19171,1.0,0.168142
0.947368,0.194595,0.973684,0.168182,1.0,0.157676
0.947368,0.195652,0.973684,0.192708,1.0,0.168889
0.947368,0.196721,0.973684,0.190722,1.0,0.196891
0.947368,0.192513,0.973684,0.189744,1.0,0.170404
0.973684,0.156118,0.973684,0.188776,1.0,0.197917
0.973684,0.151639,0.973684,0.187817,1.0,0.195876
0.973684,0.152263,0.973684,0.186869,1.0,0.194872
0.973684,0.152893,0.973684,0.18593,1.0,0.193878
0.973684,0.153527,0.973684,0.185,1.0,0.192893
0.973684,0.154167,0.973684,0.18408,1.0,0.191919
0.973684,0.154812,0.973684,0.183168,1.0,0.190955
0.973684,0.155462,0.973684,0.167421,1.0,0.19
0.973684,0.15678,0.973684,0.181373,1.0,0.189055
0.973684,0.162996,0.973684,0.180488,1.0,0.188119
0.973684,0.15812,0.973684,0.182266,1.0,0.187192
0.973684,0.158798,0.973684,0.178744,1.0,0.186275
0.973684,0.159483,0.973684,0.16895,1.0,0.185366
0.973684,0.160173,0.973684,0.169725,1.0,0.184466
0.973684,0.16087,0.973684,0.179612,1.0,0.169643
0.973684,0.161572,0.973684,0.171296,1.0,0.183575
0.973684,0.162281,0.973684,0.172093,1.0,0.181818
0.973684,0.163717,0.973684,0.172897,1.0,0.180952
0.973684,0.164444,0.973684,0.170507,1.0,0.180095
0.973684,0.157447,0.973684,0.174528,1.0,0.179245
1.0,0.14902,0.973684,0.175355,1.0,0.178404
1.0,0.149606,0.973684,0.17619,1.0,0.17757
1.0,0.150198,0.973684,0.177033,1.0,0.176744
1.0,0.150794,0.973684,0.177885,1.0,0.175926
1.0,0.151394,0.973684,0.173709,1.0,0.175115
1.0,0.154472,1.0,0.152,1.0,0.174312
1.0,0.15261,1.0,0.151394,1.0,0.173516
1.0,0.153226,1.0,0.150794,1.0,0.172727
1.0,0.153846,1.0,0.150198,1.0,0.171946
1.0,0.155102,1.0,0.149606,1.0,0.171171
1.0,0.152,1.0,0.14902,1.0,0.182692
1.0,0.148438,1.0,0.148438,1.0,0.148438
