VGG16_RECALL(X),VGG16_PRECISION(Y),EffNetB0_RECALL(X),EffNetB0_PRECISION(Y),SwinT_RECALL(X),SwinT_PRECISION(Y)
1.0,0.150198,0.921053,0.154867,1.0,0.165217
1.0,0.149606,0.921053,0.155556,1.0,0.180095
1.0,0.14902,0.921053,0.15625,1.0,0.166667
1.0,0.155102,0.921053,0.154185,1.0,0.188119
1.0,0.16309,0.947368,0.155844,1.0,0.187192
1.0,0.168142,0.947368,0.155172,1.0,0.186275
1.0,0.164502,0.947368,0.154506,1.0,0.185366
1.0,0.181818,0.947368,0.153846,1.0,0.184466
1.0,0.180952,0.973684,0.154812,1.0,0.183575
1.0,0.180095,0.973684,0.155462,1.0,0.182692
1.0,0.179245,0.973684,0.156118,1.0,0.181818
1.0,0.178404,0.973684,0.15678,1.0,0.180952
1.0,0.17757,0.973684,0.157447,1.0,0.179245
1.0,0.176744,1.0,0.14902,1.0,0.178404
1.0,0.175926,1.0,0.149606,1.0,0.17757
1.0,0.175115,1.0,0.150198,1.0,0.176744
1.0,0.174312,1.0,0.150794,1.0,0.175926
1.0,0.173516,1.0,0.151394,1.0,0.175115
1.0,0.172727,1.0,0.152,1.0,0.174312
1.0,0.171946,1.0,0.15261,1.0,0.173516
1.0,0.171171,1.0,0.157025,1.0,0.172727
1.0,0.170404,1.0,0.153846,1.0,0.171946
1.0,0.169643,1.0,0.154472,1.0,0.171171
1.0,0.168889,1.0,0.155102,1.0,0.170404
1.0,0.167401,1.0,0.155738,1.0,0.169643
1.0,0.166667,1.0,0.156379,1.0,0.168889
1.0,0.165939,1.0,0.157676,1.0,0.168142
1.0,0.165217,1.0,0.158333,1.0,0.167401
1.0,0.163793,1.0,0.153226,1.0,0.165939
1.0,0.148438,1.0,0.148438,1.0,0.148438
