FPR(X),VGG16(Y),EffNetB0(Y),SwinT(Y)
0.47094188376753504,0.9102490508342439,0.9007626496464263,0.9605592923534862
0.4729458917835671,0.9111842611215374,0.901187741444348,0.9608710260609026
0.4749498997995992,0.912119471408831,0.9016128332422696,0.961182759768319
0.47695390781563124,0.9130546816961245,0.9020379250401912,0.9614944934757355
0.4789579158316633,0.913989891983418,0.9024630168381129,0.9618062271831518
0.48096192384769537,0.9149251022707116,0.9028881086360345,0.9621179608905682
0.48296593186372744,0.915860312558005,0.9033132004339562,0.9624296945979847
0.4849699398797595,0.9167955228452985,0.9037382922318778,0.962741428305401
0.48697394789579157,0.9177307331325921,0.9041633840297995,0.9630531620128174
0.4889779559118236,0.9186659434198856,0.9045884758277212,0.9633648957202338
0.49098196392785565,0.9196011537071791,0.9056844228452985,0.9636766294276502
0.4929859719438877,0.9205363639944727,0.9072431066574543,0.9639883631350666
0.4949899799599198,0.9214715742817662,0.9088017904696103,0.964300096842483
0.49699398797595185,0.9224067845690597,0.9103604742817661,0.9646118305498994
0.4989979959919839,0.9233419948563533,0.911919158093922,0.9649235642573158
0.501002004008016,0.9242772051436468,0.9134778419060778,0.9652352979647322
0.503006012024048,0.9252124154309402,0.9150365257182337,0.9655470316721486
0.5050100200400801,0.9261476257182338,0.9165952095303896,0.965858765379565
0.5070140280561122,0.9270828360055273,0.9181538933425455,0.9661704990869814
0.5090180360721442,0.9280180462928208,0.9197125771547013,0.9664822327943978
0.5110220440881763,0.9289532565801144,0.9212712609668572,0.9667939665018143
0.5130260521042084,0.9298884668674079,0.9228299447790131,0.9671057002092306
0.5150300601202404,0.9308236771547014,0.924388628591169,0.967417433916647
0.5170340681362725,0.931758887441995,0.9259473124033248,0.9677291676240635
0.5190380761523046,0.9326940977292885,0.9275059962154807,0.9680409013314798
0.5210420841683366,0.933629308016582,0.9290646800276366,0.9683526350388962
0.5230460921843687,0.9345645183038755,0.9306233638397925,0.9686643687463127
0.5250501002004008,0.935499728591169,0.9321820476519483,0.968976102453729
0.5270541082164328,0.9364349388784625,0.9337407314641042,0.9692878361611454
0.5290581162324649,0.9373701491657561,0.93529941527626,0.9695995698685619
0.531062124248497,0.9383053594530496,0.936858099088416,0.9699113035759782
0.533066132264529,0.9392405697403431,0.9384167829005718,0.9702230372833947
0.5350701402805611,0.9401757800276367,0.9399754667127277,0.970534770990811
0.5370741482965932,0.9411109903149302,0.9415341505248835,0.9708465046982274
0.5390781563126252,0.9420462006022237,0.9430928343370395,0.9711582384056439
0.5410821643286573,0.9429814108895173,0.9446515181491953,0.9714699721130602
0.5430861723446894,0.9439166211768107,0.9462102019613512,0.9717817058204766
0.5450901803607214,0.9448518314641042,0.947768885773507,0.9720934395278931
0.5470941883767535,0.9457870417513978,0.949327569585663,0.9724051732353094
0.5490981963927856,0.9467222520386913,0.9508862533978188,0.9727169069427258
0.5511022044088176,0.9476574623259848,0.9523937873166782,0.9730286406501423
0.5531062124248497,0.9485926726132784,0.9527055210240947,0.9733403743575586
0.5551102204408818,0.9495278829005719,0.9530172547315111,0.973652108064975
0.5571142284569138,0.9504630931878654,0.9533289884389274,0.9739638417723915
0.5591182364729459,0.951398303475159,0.9536407221463439,0.9742755754798078
0.561122244488978,0.9523335137624525,0.9539524558537603,0.9745873091872242
0.56312625250501,0.952381,0.9542641895611766,0.9748990428946407
0.565130260521042,0.952381,0.9545759232685931,0.975210776602057
0.567134268537074,0.952381,0.9548876569760094,0.9755225103094735
0.5691382765531061,0.952381,0.9551993906834259,0.9758342440168898
0.5711422845691382,0.952381,0.9555111243908423,0.9761459777243062
0.5731462925851702,0.952381,0.9558228580982586,0.9764577114317227
0.5751503006012023,0.952381,0.9561345918056751,0.976769445139139
0.5771543086172344,0.952381,0.9564463255130915,0.9770811788465554
0.5791583166332664,0.952381,0.9567580592205078,0.9773929125539719
0.5811623246492985,0.952381,0.9570697929279243,0.9777046462613882
0.5831663326653306,0.952381,0.9573815266353407,0.9780163799688046
0.5851703406813626,0.952381,0.957693260342757,0.9783281136762211
0.5871743486973947,0.952381,0.9580049940501735,0.9786398473836374
0.5891783567134268,0.952381,0.9583167277575899,0.9789515810910538
0.5911823647294588,0.952381,0.9586284614650062,0.9792633147984703
0.5931863727454909,0.952381,0.9589401951724227,0.9795750485058866
0.595190380761523,0.952381,0.959251928879839,0.979886782213303
0.597194388777555,0.952381,0.9595636625872555,0.9801985159207195
0.5991983967935871,0.952381,0.9598753962946719,0.9805102496281358
0.6012024048096192,0.952381,0.9601871300020882,0.9808219833355523
0.6032064128256512,0.952381,0.9604988637095047,0.9811337170429686
0.6052104208416833,0.952381,0.9608105974169211,0.981445450750385
0.6072144288577154,0.952381,0.9611223311243374,0.9817571844578015
0.6092184368737474,0.952381,0.9614340648317539,0.9820689181652178
0.6112224448897795,0.952381,0.9617457985391703,0.9823806518726342
0.6132264529058116,0.952381,0.9620575322465866,0.9826923855800507
0.6152304609218436,0.952381,0.9623692659540031,0.983004119287467
0.6172344689378757,0.952381,0.9626809996614195,0.9833158529948834
0.6192384769539078,0.952381,0.9629927333688358,0.9836275867022999
0.6212424849699398,0.952381,0.9633044670762523,0.9839393204097162
0.6232464929859719,0.952381,0.9636162007836687,0.9842510541171327
0.625250501002004,0.952381,0.963927934491085,0.9845627878245491
0.627254509018036,0.952381,0.9642396681985015,0.9848745215319654
0.6292585170340681,0.952381,0.9645514019059179,0.9851862552393819
0.6312625250501002,0.952381,0.9648631356133343,0.9854979889467983
0.6332665330661322,0.952381,0.9651748693207507,0.9858097226542146
0.6352705410821643,0.952381,0.965486603028167,0.9861214563616311
0.6372745490981964,0.952381,0.9657983367355835,0.9864331900690475
0.6392785571142284,0.952381,0.9661100704429999,0.9867449237764638
0.6412825651302605,0.952381,0.9664218041504162,0.9870566574838803
