Recall(X),VGG16(Y),EffNetB0(Y),SwinT(Y)
0.7474949899799599,0.39254298797610426,0.29777741463836627,0.4688038087808083
0.749498997995992,0.3911401975952209,0.29715708292767323,0.46771796175616165
0.751503006012024,0.38973740721433753,0.29653675121698025,0.466632114731515
0.7535070140280561,0.38833461683345416,0.2959164195062872,0.46554626770686836
0.7555110220440882,0.3869318264525708,0.29529608779559424,0.4644604206822217
0.7575150300601202,0.3855290360716874,0.2946757560849012,0.46337457365757506
0.7595190380761523,0.38412624569080406,0.29405542437420823,0.4622887266329284
0.7615230460921844,0.3827234553099207,0.2934350926635152,0.46120287960828177
0.7635270541082164,0.3813584734818474,0.29264568828491455,0.4602360537956899
0.7655310621242485,0.38016098807175075,0.29110727173453155,0.4597965062098661
0.7675350701402806,0.3789635026616541,0.2895688551841485,0.4593569586240424
0.7695390781563125,0.37776601725155745,0.2880304386337656,0.4589174110382187
0.7715430861723446,0.3765685318414608,0.28649202208338254,0.458477863452395
0.7735470941883766,0.3753710464313641,0.28495360553299953,0.4580383158665713
0.7755511022044087,0.3741735610212674,0.2834151889826165,0.4575987682807475
0.7775551102204408,0.37297607561117074,0.28187677243223347,0.4571592206949238
0.7795591182364728,0.37177859020107407,0.2803383558818504,0.4567196731091001
0.7815631262525049,0.3705811047909774,0.2787999393314674,0.4562801255232764
0.783567134268537,0.3693836193808807,0.27726152278108435,0.45584057793745264
0.785571142284569,0.36818613397078404,0.27572310623070134,0.45540103035162893
0.7875751503006011,0.36698864856068736,0.2741846896803183,0.4549614827658052
0.7895791583166332,0.365845136570538,0.2727143642182332,0.45452394036372196
0.7915831663326652,0.3656762256915884,0.2724735634070345,0.4541226056783908
0.7935871743486973,0.36550731481263876,0.2722327625958358,0.45372127099305964
0.7955911823647294,0.36533840393368916,0.27199196178463714,0.4533199363077285
0.7975951903807614,0.36516949305473956,0.27175116097343843,0.4529186016223974
0.7995991983967935,0.36500058217578996,0.27151036016223973,0.45251726693706623
0.8016032064128256,0.36483167129684035,0.2712695593510411,0.4521159322517351
0.8036072144288576,0.3646627604178907,0.2710287585398424,0.4517145975664039
0.8056112224448897,0.3644938495389411,0.27078795772864367,0.4513132628810728
0.8076152304609218,0.3643249386599915,0.270547156917445,0.45091192819574166
0.8096192384769538,0.3641560277810419,0.2703063561062463,0.4505105935104105
0.8116232464929859,0.36398711690209223,0.2700655552950476,0.45010925882507935
0.813627254509018,0.36381820602314263,0.26982475448384896,0.44970792413974825
0.81563126252505,0.36364929514419303,0.26958395367265026,0.4493065894544171
0.8176352705410821,0.363636,0.2687581862280573,0.44653751595065805
0.8196392785571142,0.363636,0.2678824417310073,0.44356615294801494
0.8216432865731462,0.363636,0.2670066972339572,0.4405947899453719
0.8236472945891783,0.363636,0.2661309527369072,0.4376234269427288
0.8256513026052104,0.363636,0.26525520823985715,0.43465206394008576
0.8276553106212424,0.363636,0.26437946374280713,0.43168070093744265
0.8296593186372745,0.363636,0.26350371924575705,0.4287093379347996
0.8316633266533066,0.363636,0.262627974748707,0.42573797493215654
0.8336673346693386,0.363636,0.261752230251657,0.4227666119295134
0.8356713426853707,0.363636,0.260876485754607,0.41979524892687037
0.8376753507014028,0.363636,0.2600007412575569,0.4168238859242273
0.8396793587174348,0.363636,0.2591249967605069,0.41385252292158425
0.8416833667334669,0.363636,0.25824925226345685,0.41088115991894114
0.843687374749499,0.36333895898835217,0.256926443004949,0.40788273852454876
0.845691382765531,0.36296276961309765,0.2554845106526322,0.4048771072589777
0.8476953907815631,0.36258658023784307,0.2540425783003155,0.40187147599340656
0.8496993987975952,0.36221039086258855,0.25260064594799875,0.39886584472783543
0.8517034068136272,0.36183420148733403,0.25115871359568204,0.3958602134622643
0.8537074148296593,0.36145801211207945,0.2497167812433653,0.39285458219669317
0.8557114228456913,0.36108182273682493,0.24827484889104856,0.38984895093112204
0.8577154308617234,0.3607056333615704,0.24683291653873185,0.3868433196655509
0.8597194388777555,0.3603294439863159,0.2453909841864151,0.3838376883999798
0.8617234468937875,0.3599532546110613,0.24394905183409837,0.3808320571344087
0.8637274549098196,0.3595770652358068,0.24250711948178164,0.3778264258688376
0.8657314629258517,0.35920087586055227,0.2410651871294649,0.37482079460326645
0.8677354709418837,0.3588246864852977,0.2396232547771482,0.3718151633376953
0.8697394789579158,0.3532501347921562,0.23881671344718622,0.3703318251507575
0.8717434869739479,0.34497275010943007,0.2383405368958772,0.369639986998088
0.8737474949899798,0.33669536542670436,0.23786436034456818,0.3689481488454185
0.8757515030060119,0.3284179807439782,0.23738818379325916,0.36825631069274894
0.877755511022044,0.32014059606125206,0.2369120072419501,0.36756447254007946
0.879759519038076,0.3118632113785259,0.23643583069064109,0.3668726343874099
0.8817635270541081,0.30358582669579975,0.23595965413933204,0.36618079623474037
0.8837675350701402,0.2953084420130736,0.23548347758802302,0.3654889580820709
0.8857715430861722,0.28703105733034745,0.235007301036714,0.36479711992940134
0.8877755511022043,0.2787536726476213,0.23453112448540495,0.3641052817767318
0.8897795591182364,0.27047628796489515,0.23405494793409592,0.3634134436240623
0.8917835671342684,0.262198903282169,0.23357877138278688,0.36272160547139276
0.8937875751503005,0.25392151859944284,0.23310259483147786,0.3620297673187232
0.8957915831663326,0.24874769250844003,0.232772246982946,0.36109420007281634
0.8977955911823646,0.24636795202732578,0.23257318645118175,0.35993920730875045
0.8997995991983967,0.24398821154621156,0.2323741259194175,0.3587842145446845
0.9018036072144288,0.24160847106509734,0.23217506538765326,0.3576292217806186
